States,Total Cases,Recovered,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,15,0,2020-04-29,11.7401,92.6586
Andhra Pradesh,1259,258,31,2020-04-29,15.9129,79.74
Arunachal Pradesh,1,1,0,2020-04-29,28.218,94.7278
Assam,38,27,1,2020-04-29,26.2006,92.9376
Bihar,366,64,2,2020-04-29,25.0961,85.3131
Chandigarh,56,17,0,2020-04-29,30.7333,76.7794
Chhattisgarh,38,34,0,2020-04-29,21.2787,81.8661
Delhi,3314,1078,54,2020-04-29,28.7041,77.1025
Goa,7,7,0,2020-04-29,15.2993,74.124
Gujarat,3744,434,181,2020-04-29,22.2587,71.1924
Haryana,310,209,3,2020-04-29,29.0588,76.0856
Himachal Pradesh,40,25,1,2020-04-29,31.1048,77.1734
Jammu and Kashmir,565,176,8,2020-04-29,33.7782,76.5762
Jharkhand,103,17,3,2020-04-29,23.6102,85.2799
Karnataka,523,207,20,2020-04-29,15.3173,75.7139
Kerala,485,359,4,2020-04-29,10.8505,76.2711
Ladakh,22,16,0,2020-04-29,34.2996,78.2932
Madhya Pradesh,2387,377,120,2020-04-29,22.9734,78.6569
Maharashtra,9318,1388,400,2020-04-29,19.7515,75.7139
Manipur,2,2,0,2020-04-29,24.6637,93.9063
Meghalaya,12,0,1,2020-04-29,25.467,91.3662
Mizoram,1,0,0,2020-04-29,23.1645,92.9376
Odisha,118,38,1,2020-04-29,20.9517,85.0985
Puducherry,8,3,0,2020-04-29,11.9416,79.8083
Punjab,322,71,19,2020-04-29,31.1471,75.3412
Rajasthan,2364,768,51,2020-04-29,27.0238,74.2179
Tamil Nadu,2058,1168,25,2020-04-29,11.1271,78.6569
Telengana,1004,321,26,2020-04-29,18.1124,79.0193
Tripura,2,2,0,2020-04-29,23.9408,91.9882
Uttarakhand,54,33,0,2020-04-29,30.0668,79.0193
Uttar Pradesh,2053,462,34,2020-04-29,26.8467,80.9462
West Bengal,725,119,22,2020-04-29,22.9868,87.855
